genes	4438	4460	4474	4501	4510	4520	DC1MINUS	DC2MINUES	DC2PLUS	DC4MINUS	DC4PLUS	MischiefMinus	MischiefPlus	X2654MINUS	X2654PLUS
CWC25	579	610	523	251	133	425	510	487	415	544	756	277	257	306	402
TRNAC-GCA_17	0	0	0	0	3	0	1	0	0	0	5	10	31	0	1
CE1H17orf98	270	284	377	184	54	245	446	398	257	596	811	106	142	537	667
RPL23	12321	11326	15826	8108	2284	8678	8819	8465	6999	8245	11051	997	673	8877	10937
LOC111557912	60	22	46	30	34	77	11	20	8	9	27	52	24	12	13
LOC109494355	0	4	1	2	3	0	0	0	0	0	0	11	11	1	0
TRNAC-GCA_18	0	0	0	0	1	0	0	1	1	0	1	0	3	0	1
TRNAC-GCA_19	0	0	2	0	1	1	2	1	5	2	2	0	5	3	2
TRNAC-GCA_20	5	2	0	0	1	4	4	4	0	1	3	60	39	0	2
LASP1	3466	2954	4276	1867	691	2523	8847	8458	7414	7024	8489	1323	872	7832	9287
LOC111557828	200	105	149	105	45	88	84	27	43	40	42	106	99	50	64
LOC105261179	18	18	11	15	6	10	148	187	161	99	132	31	55	29	39
FBXO47	21	18	15	18	8	12	11	23	9	17	11	53	76	8	6
LOC109494356	3	2	5	2	5	2	0	0	1	0	0	33	43	0	1
PLXDC1	8	7	5	5	18	3	232	1410	1196	330	349	79	116	961	955
TRNAC-GCA_21	2	1	0	2	0	1	1	2	0	0	0	1	4	1	0
TRNAC-GCA_22	3	2	0	1	0	0	2	2	0	3	3	5	18	1	0
ARL5C	762	825	877	349	159	639	0	0	1	0	0	59	71	0	0
CACNB1	92	82	79	28	29	47	8	11	8	11	16	159	202	26	7
RPL19	26472	29223	31895	19901	6516	22490	27201	27226	22975	32287	39548	1271	690	18242	21132
STAC2	66	47	41	61	38	51	9	2	5	23	29	106	160	22	30
LOC101100850	19	20	18	17	14	21	2	4	3	1	2	77	95	1	0
FBXL20	803	578	656	527	174	498	800	1015	798	893	1063	98	108	598	820
MED1	1882	1560	1657	1158	402	1144	1362	1463	1174	1593	2123	540	455	858	1046
CDK12	3112	2490	2406	1508	645	1804	1754	1846	1525	2078	2508	652	618	1125	1339
LOC111557966	1	2	3	1	0	0	1	0	0	3	1	0	2	0	0
LOC109494357	45	19	25	27	17	15	11	15	8	15	9	38	53	1	6
NEUROD2	4	4	1	2	12	0	0	0	0	0	0	77	91	0	0
PPP1R1B	54	19	47	66	18	27	5	2	0	2	2	74	99	0	10
STARD3	1265	1288	944	504	222	966	522	513	490	496	529	215	194	259	322
TCAP	29	17	22	9	10	14	3	10	5	6	10	8	25	6	1
PNMT	106	68	19	36	15	36	0	0	1	1	1	25	31	0	0
PGAP3	491	455	348	322	118	392	212	265	269	280	342	81	91	133	175
ERBB2	83	80	51	36	37	52	1709	2389	1996	2174	2526	210	229	1831	2042
MIEN1	456	516	496	260	83	354	732	845	750	901	1057	52	26	575	620
GRB7	8	6	13	3	10	4	0	1	0	0	1	115	123	0	0
IKZF3	3448	2258	2644	3831	1076	1956	0	0	0	0	0	880	588	0	0
ZPBP2	51	57	19	32	24	78	0	0	1	1	0	34	51	0	0
GSDMB	52	30	41	41	27	15	2	3	2	4	4	136	177	1	5
ORMDL3	1981	1846	1668	943	359	3083	806	1174	992	1072	1175	115	90	842	927
LOC102901778	64	55	28	54	21	43	7	3	1	3	5	51	75	2	4
LRRC3C	25	9	11	18	16	9	0	0	0	0	0	67	118	0	0
GSDMA	12	6	15	7	14	7	4	0	0	2	2	91	101	0	0
PSMD3	1092	1261	1165	680	254	912	2028	2060	1960	2765	3167	281	214	1540	1820
CSF3	12	8	6	4	9	4	2	0	3	3	2	177	140	4	0
MED24	1073	915	839	513	248	666	391	423	393	441	502	277	283	231	298
LOC111557930	17	21	11	8	4	10	3	4	1	3	6	2	0	2	0
THRA	465	499	333	138	74	238	318	345	320	404	436	168	166	307	294
NR1D1	59	60	49	15	24	20	92	94	97	98	109	135	166	78	51
MSL1	2244	1645	1580	1118	487	1356	754	871	690	835	1212	244	260	489	524
CASC3	2545	2318	2149	1350	508	1711	854	820	729	1050	1416	569	411	598	711
RAPGEFL1	26	21	16	9	17	12	48	35	26	22	30	141	133	27	31
WIPF2	1212	1108	1006	658	258	745	482	579	491	620	755	433	477	357	402
CDC6	263	204	251	173	81	175	123	55	51	135	151	209	230	64	85
LOC109494360	5	1	2	1	3	1	0	1	0	3	1	42	45	0	1
RARA	1232	790	1243	696	262	675	558	457	414	751	858	117	136	356	403
GJD3	6	5	2	6	14	5	0	0	0	1	0	63	73	0	0
TOP2A	292	302	392	232	72	251	554	366	284	511	713	1618	881	248	308
LOC109494361	0	0	0	0	1	0	2	5	5	2	3	6	7	1	7
LOC102900254	1	1	1	1	13	0	70	48	69	57	71	42	61	36	45
IGFBP4	8	13	14	3	9	17	13043	19925	17945	16493	20840	207	104	13723	16400
TNS4	2	1	3	2	15	1	23	5	10	17	25	126	171	7	7
CCR7	9869	9450	6661	2644	1495	6316	0	1	2	5	5	307	281	1	0
SMARCE1	4379	3358	3889	3145	1000	3181	1126	1234	1014	1506	2296	543	436	920	1020
KRT222	27	18	11	22	12	20	1	3	2	4	1	32	19	0	0
KRT24	14	9	5	10	17	6	6	8	9	3	1	91	119	0	0
KRT25	9	7	3	5	6	5	0	0	0	0	0	61	68	0	0
LOC101083308	3	0	2	1	5	1	0	0	0	0	0	44	53	0	0
LOC111556209	1	1	0	2	8	2	0	0	0	0	0	93	126	0	0
KRT10	100	79	55	49	41	86	113	129	96	128	186	132	124	59	71
LOC102900897	20	29	20	15	11	20	23	25	22	21	28	22	19	4	11
KRT12	23	14	14	13	14	7	5	8	1	7	5	63	88	4	5
KRT20	3	1	1	10	8	2	3	3	1	3	0	58	73	0	2
LOC109494369	2	4	2	5	2	2	0	3	1	1	0	19	33	0	0
KRT23	140	133	221	81	28	57	9	4	4	5	3	61	81	5	6
KRT39	6	4	2	3	5	3	4	7	2	3	6	54	76	4	2
KRT40	1	2	1	1	0	2	0	0	0	0	0	20	23	0	0
LOC101087113	1	0	0	1	2	0	1	1	0	1	0	11	9	0	2
LOC101087623	0	0	1	0	2	0	0	2	0	1	0	32	55	1	0
LOC101087885	0	1	0	2	7	0	0	0	0	0	0	27	25	0	1
LOC109494368	2	0	2	2	3	3	0	0	0	0	0	17	20	0	0
LOC101085333	0	0	0	0	0	0	0	1	0	0	1	9	3	2	0
LOC101085588	0	0	1	1	1	0	0	0	0	0	0	1	10	0	0
LOC101085845	2	0	0	1	4	1	0	0	0	0	0	29	35	0	1
LOC105261176	1	0	0	0	3	0	1	0	0	0	0	13	8	0	0
LOC101088126	0	0	0	0	2	0	0	0	0	1	0	7	3	0	0
LOC105261175	2	2	2	0	4	0	0	0	0	0	1	22	38	0	0
LOC111557872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111557873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101088376	0	0	1	1	2	0	0	0	0	0	1	4	3	0	0
LOC101093843	1	0	1	0	4	2	1	0	0	0	0	6	3	0	0
LOC105260091	5	1	2	6	17	1	0	1	0	1	0	31	23	0	0
LOC102901573	0	1	2	1	1	1	1	0	0	0	0	36	55	0	0
LOC111557874	16	9	10	10	65	14	0	2	0	0	1	0	0	1	1
LOC109497009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111557871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC109494366	2	0	2	1	9	0	0	1	0	0	0	4	12	0	1
LOC101086104	1	0	2	1	1	0	0	0	0	0	0	23	34	0	0
LOC102902071	0	0	0	1	1	0	0	0	0	0	0	20	30	0	0
LOC101086358	1	0	1	1	9	1	0	0	0	0	0	32	43	0	0
LOC111557764	3	3	0	1	12	0	1	0	0	0	0	18	50	0	0
LOC101089661	0	1	0	1	3	1	0	0	0	0	0	72	64	0	0
LOC101086611	1	0	0	1	0	2	0	0	0	0	0	72	74	0	0
LOC101086861	3	0	3	0	7	1	0	0	0	0	0	73	88	0	0
LOC101087114	8	3	8	9	31	3	0	1	0	0	0	236	299	0	0
LOC102901728	3	2	3	6	27	1	0	0	0	0	1	83	94	0	2
LOC101087365	2	3	0	3	5	0	0	0	0	0	0	69	97	1	0
KRT32	4	2	3	1	13	0	0	0	0	0	0	93	115	0	0
KRT35	3	1	1	0	10	1	1	0	1	0	0	99	98	0	1
KRT36	4	3	1	4	11	1	0	0	0	0	0	134	138	0	0
LOC101087886	2	2	2	3	12	1	0	0	0	0	0	69	77	0	0
LOC101090406	2	0	0	0	4	1	2	0	0	0	0	14	37	0	0
KRT19	1	0	4	0	2	2	0	0	0	0	0	28	26	0	0
KRT9	6	3	1	5	29	4	1	0	0	0	1	298	319	0	0
KRT14	3	3	3	1	9	1	0	0	0	0	1	67	69	0	0
KRT16	1	0	0	5	4	0	6	3	5	5	5	55	41	1	1
KRT17	1	3	7	4	9	0	1	0	0	0	0	55	42	1	0
LOC101088377	2	1	4	5	8	3	3	0	0	0	0	32	51	0	0
EIF1	3824	3449	4225	4749	1454	3120	2391	2276	1736	3036	4544	314	185	1703	1690
GAST	0	4	0	0	4	0	0	0	0	0	0	7	13	0	0
HAP1	12	26	4	3	23	4	2	0	1	0	1	111	86	4	9
JUP	277	129	206	421	105	230	355	250	243	400	519	75	69	350	383
P3H4	111	86	99	42	34	90	2646	2612	2540	2842	3197	58	91	2108	2660
FKBP10	14	11	9	10	13	16	5787	5412	5185	5161	6219	70	82	3773	3908
NT5C3B	841	905	1026	526	154	655	460	579	522	632	822	132	123	442	537
KLHL10	63	123	50	48	17	41	7	6	2	4	8	68	105	1	1
LOC109494373	33	99	61	33	10	38	0	0	0	0	0	7	4	0	0
KLHL11	1466	1403	1195	498	275	963	1706	1947	1607	2006	2607	128	143	1205	1478
ACLY	2555	1983	2402	1283	426	1407	8908	7748	6835	12802	16775	692	533	8898	9752
TTC25	12	7	25	11	13	13	18	16	11	10	21	168	221	19	18
CNP	2082	3035	2140	1144	553	2165	286	551	521	488	505	175	113	448	558
DNAJC7	1424	1206	1509	830	288	966	885	1042	825	1176	1533	317	321	632	805
LOC109494374	77	36	51	66	25	46	11	5	4	5	5	43	38	3	14
NKIRAS2	691	675	775	401	175	587	900	997	904	1115	1204	133	171	619	677
ZNF385C	587	373	218	76	82	252	7	16	12	4	4	156	176	2	4
DHX58	743	1719	853	219	390	1200	31	69	42	14	24	158	165	58	40
KAT2A	601	573	521	306	118	412	391	474	439	540	631	207	224	320	323
HSPB9	24	29	24	14	11	10	19	22	17	20	21	92	91	12	11
RAB5C	1219	1043	1365	771	301	923	1349	1561	1433	1650	2089	188	111	1647	1839
KCNH4	9	5	8	5	19	2	1	3	0	1	1	180	158	0	0
HCRT	1	1	3	0	0	2	2	1	0	2	0	11	0	0	0
GHDC	212	163	149	87	49	146	176	324	239	199	267	63	63	213	271
STAT5B	2989	3659	2919	1446	733	2828	543	630	508	809	1041	419	370	514	541
LOC101090913	3088	3022	2960	1704	549	2385	1003	945	824	1067	1242	547	423	673	804
STAT3	1954	1729	1741	1301	547	1174	1498	1954	1569	2192	3579	811	581	1588	1836
LOC111557793	322	256	371	237	157	254	57	46	38	36	69	312	295	34	62
CAVIN1	9	10	5	8	15	22	31406	36215	31968	33329	40325	68	92	35749	43065
LOC109494377	1	0	1	0	3	0	9	7	7	1	3	16	6	8	11
ATP6V0A1	409	309	445	480	157	258	347	372	246	360	630	275	279	270	262
NAGLU	1021	760	1047	537	223	643	2375	4760	4425	2337	2578	132	115	2238	2477
HSD17B1	195	126	193	121	37	111	208	262	218	184	195	11	7	92	120
COASY	630	644	589	383	139	494	485	515	515	536	566	146	135	436	435
MLX	971	966	1065	387	188	729	987	1031	824	1142	1325	197	134	717	877
PSMC3IP	70	72	72	48	8	51	24	24	16	32	33	96	109	27	23
RETREG3	2347	2289	1987	1132	412	1854	1010	1168	1061	1258	1559	143	100	810	1078
TUBG1	83	100	72	58	20	55	451	440	397	548	667	90	126	330	364
LOC101099090	9	9	6	5	10	2	78	101	77	112	134	83	99	100	86
PLEKHH3	12	5	22	8	19	23	497	478	427	514	564	78	79	337	417
CCR10	30	38	40	36	26	22	13	19	26	13	8	61	56	11	23
CNTNAP1	142	59	116	51	50	51	261	4586	4286	496	575	281	343	1370	1498
EZH1	1594	1262	1247	609	273	849	600	741	621	723	858	348	401	457	541
RAMP2	7	4	6	2	10	5	6	12	8	19	50	34	20	4	5
VPS25	724	647	821	381	169	546	1053	1523	1270	1267	1472	99	73	799	896
WNK4	1186	1228	1074	1946	568	960	21	21	19	15	21	151	159	9	8
LOC101100523	305	273	302	159	79	201	439	472	469	573	683	68	44	359	429
CNTD1	5	2	6	3	10	1	0	1	0	2	1	123	115	2	2
BECN1	3443	3249	3605	1862	749	2612	1866	2010	1721	2045	2570	263	236	1438	1735
PSME3	652	602	530	443	182	424	732	793	687	902	1272	310	218	593	684
LOC101080592	61	44	55	66	38	37	45	42	39	34	35	201	283	31	29
LOC101093157	2	1	2	2	5	0	0	0	1	0	0	39	56	0	0
LOC109494379	0	0	1	0	0	0	0	0	0	0	0	19	39	0	0
G6PC	1	2	0	3	15	0	0	0	0	0	0	113	124	0	0
LOC101081013	268	242	259	146	49	215	546	736	657	674	772	121	114	394	477
PTGES3L	46	24	41	34	11	39	102	132	136	391	460	63	51	224	258
RUNDC1	233	271	204	134	61	182	318	291	246	332	442	135	122	169	209
RPL27	10079	9586	12206	7266	2463	8060	7581	7524	6486	8652	11090	582	350	5508	6284
IFI35	529	913	559	193	154	689	250	355	307	332	396	103	96	208	229
VAT1	712	1191	1110	646	177	954	13467	16592	14877	14260	16673	96	94	8664	9374
RND2	1255	2727	2812	1297	555	2969	93	230	197	86	92	83	108	105	107
LOC109494380	1	0	0	3	4	1	0	0	1	0	0	25	27	0	0
BRCA1	168	104	131	103	43	90	164	218	148	118	143	332	385	104	134
NBR1	4527	4831	4184	2088	754	2984	9691	12854	10891	9320	12011	438	421	7766	9184
TMEM106A	556	618	627	168	166	400	74	103	90	59	74	148	170	85	67
LOC102901590	15	7	13	3	17	2	4	6	2	5	4	73	93	3	9
LOC111557938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111557935	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
LOC111557782	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0
LOC111557940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111557941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111557786	0	0	0	0	0	0	0	0	0	0	0	4	6	0	0
LOC111557936	0	0	8	6	0	1	0	2	0	0	3	0	0	0	0
LOC105261172	3	4	11	4	1	4	2	1	0	1	4	12	17	1	1
LOC111557934	20	10	24	44	9	47	20	18	6	19	29	21	5	4	4
ARL4D	0	1	3	1	4	0	33	47	36	23	35	59	31	94	76
DHX8	2865	2337	2298	1466	545	1987	1392	1422	1126	1503	1926	408	326	1024	1177
ETV4	20	6	7	6	8	7	285	133	126	173	162	144	126	87	92
MEOX1	34	37	47	57	9	72	158	58	34	95	138	88	125	25	26
SOST	2	3	4	2	16	2	5	8	14	3	3	60	89	0	0
LOC109494381	3	0	2	0	5	1	0	0	0	1	0	31	45	0	0
DUSP3	59	63	128	77	35	70	633	927	871	756	934	82	136	620	796
LOC102899434	0	1	0	1	8	1	0	0	0	0	0	46	38	0	0
CE1H17orf105	2	0	3	1	10	1	0	0	0	0	0	50	82	0	0
MPP3	38	25	34	16	20	20	20	41	29	27	28	178	196	11	19
CD300LG	4	12	0	3	5	7	4	14	14	0	0	64	86	1	0
MPP2	10	12	3	7	16	5	15	9	11	20	18	168	175	3	7
LOC109494382	1	0	0	0	0	0	0	0	0	0	0	7	6	0	0
PPY	0	1	0	1	6	0	0	0	0	0	0	6	6	0	0
PYY	70	84	47	23	24	72	1	8	2	2	4	16	12	9	6
TMEM101	239	237	201	99	41	168	322	369	365	466	496	58	67	298	390
LOC111557913	0	0	3	0	0	1	0	0	1	1	0	13	16	0	0
NAGS	29	33	19	8	8	13	8	15	6	14	9	26	34	4	7
LSM12	341	359	357	244	56	219	562	576	426	683	927	83	84	398	511
G6PC3	143	157	147	78	33	123	450	397	381	488	450	67	87	380	394
HDAC5	5199	7479	7129	4693	1548	6088	1839	2747	2403	2045	2287	343	264	2113	2224
CE1H17orf53	73	67	74	43	24	53	16	7	10	22	26	119	169	16	22
ASB16	1	3	4	1	10	5	2	2	0	0	0	79	101	0	0
TMUB2	837	872	890	551	184	764	749	816	703	760	913	137	139	572	677
ATXN7L3	2462	2443	2301	1153	408	1966	1326	1376	1238	1471	1655	338	236	798	864
LOC109494383	149	135	197	80	47	114	89	149	129	171	191	32	31	123	183
UBTF	8175	6991	6628	3897	1381	5905	1818	1841	1636	2110	2489	1158	725	1113	1264
SLC4A1	638	119	49	1061	59	48	2	1	0	0	0	196	214	0	1
RUNDC3A	67	63	35	96	12	36	37	45	48	31	39	75	46	63	63
SLC25A39	844	614	639	993	145	594	897	1056	928	1270	1350	135	115	886	1043
GRN	1655	1800	2557	1361	642	1757	2746	2951	2686	2441	3319	123	97	4094	3697
FAM171A2	16	4	13	12	10	7	158	199	188	221	230	53	57	205	236
ITGA2B	70955	75337	68175	42464	27780	77842	10	4	3	16	17	191	195	7	2
GPATCH8	1863	1567	1774	1458	606	1290	527	710	613	556	653	476	378	342	433
FZD2	3	0	3	3	4	1	948	887	797	947	1104	39	40	173	203
LOC109494388	0	0	1	0	4	0	0	0	0	0	0	31	27	0	0
LOC109494385	5	0	1	0	8	0	0	0	0	0	0	22	39	0	0
MEIOC	21	20	21	17	11	20	11	29	16	27	22	25	23	16	26
CCDC43	808	803	711	311	139	518	907	1133	853	986	1370	158	202	688	799
LOC102900759	127	135	122	61	34	81	96	122	97	115	161	62	59	75	86
DBF4B	41	20	26	19	11	16	35	37	31	51	58	182	199	36	31
ADAM11	38	20	34	29	38	27	13	7	5	13	15	221	282	12	16
GJC1	35	24	32	36	20	17	57	84	79	182	222	103	162	58	76
HIGD1B	12	7	5	9	11	5	2	3	0	1	3	67	74	0	0
EFTUD2	1406	1237	1364	815	317	1039	1730	1914	1648	2280	2781	415	361	1345	1461
LOC109494390	11	4	2	5	4	4	4	1	1	3	1	14	10	0	1
CCDC103	14	12	5	7	5	8	11	17	20	22	16	44	38	8	7
LOC101086018	15	12	8	6	9	5	17	25	15	20	34	51	48	11	13
GFAP	3	4	4	6	16	8	1	1	1	0	3	65	113	0	0
KIF18B	17	17	22	15	21	14	15	0	0	6	8	139	193	0	1
LOC109494391	4	1	7	7	12	2	2	0	0	2	1	129	164	0	0
C1QL1	29	55	45	31	22	59	19	8	9	60	77	75	94	64	70
DCAKD	127	79	76	50	23	59	300	363	273	359	432	85	95	209	231
LOC109494392	3	1	2	2	5	2	3	2	0	3	1	52	50	1	2
NMT1	1117	1246	1204	568	248	790	1193	1124	1113	1465	1825	266	220	996	1156
PLCD3	17	14	6	8	11	4	753	646	675	1142	1276	132	140	719	870
ACBD4	350	236	276	189	58	233	143	182	141	193	203	151	137	141	167
HEXIM1	1099	1105	951	541	233	799	713	619	554	960	1157	192	91	572	688
HEXIM2	89	100	89	49	30	71	34	44	35	42	43	31	66	31	33
FMNL1	6498	5064	5640	3586	1233	4324	14	26	33	31	28	827	608	11	13
SPATA32	52	30	32	51	15	40	8	5	7	10	1	87	77	2	2
LOC109494393	6	7	7	9	4	2	0	0	1	0	1	16	11	0	0
LOC109494394	18	3	3	4	4	5	0	0	0	0	0	0	1	0	0
MAP3K14	1494	1143	1122	959	363	879	228	275	247	327	408	366	361	174	212
LOC109494395	1	0	0	0	0	0	64	120	105	71	64	21	37	7	10
ARHGAP27	1300	1127	1176	594	251	950	11	9	6	12	14	234	168	80	69
PLEKHM1	2886	1763	2110	1513	673	1436	509	481	413	458	533	1548	1574	380	425
LOC109497004	86	52	71	60	23	41	13	3	5	3	4	276	285	6	4
LOC109497006	89	64	82	42	21	62	51	63	59	29	37	921	1004	60	84
LOC111557772	3	1	0	1	0	2	2	1	1	0	0	196	239	0	0
LOC105259662	86	65	79	60	48	56	73	93	89	41	54	324	336	60	91
LOC101100197	368	423	309	154	110	393	201	313	255	127	157	481	519	215	304
LOC111557833	25	11	22	18	17	9	10	14	15	9	4	164	167	6	12
LYZL6	838	552	660	382	166	405	276	339	284	123	164	1030	1183	205	282
LOC111557834	9	0	3	6	5	5	2	1	1	0	2	34	34	1	1
RPRML	3	3	0	2	2	2	1	1	0	0	0	18	29	0	0
GOSR2	1097	920	905	503	213	738	1019	1165	1116	1106	1360	494	481	906	1024
WNT9B	283	148	144	68	45	83	4	10	9	1	1	128	134	7	8
WNT3	0	18	6	2	1	4	1	0	0	0	4	32	33	0	2
NSF	659	502	680	544	170	436	1253	1491	1322	1357	2188	171	170	1540	1743
LOC101089059	399	436	394	221	89	336	2282	2970	2480	2165	2792	110	105	2762	3519
LOC102899185	6	3	9	15	8	2	6	16	6	16	17	149	174	10	16
LOC102899205	1	2	0	3	4	5	6	4	1	7	3	40	34	15	14
CRHR1	1	0	1	3	13	2	5	1	2	3	1	39	64	7	5
SPPL2C	4	4	7	2	16	0	0	0	0	0	0	35	24	0	0
MAPT	10	8	4	10	12	3	1	2	3	5	8	119	139	3	0
LOC109494402	2	0	0	2	8	1	0	0	0	0	0	38	67	0	0
KANSL1	2300	2029	1917	1535	614	1560	777	933	720	1004	1243	217	217	381	483
CDC27	1654	1661	1559	1054	460	1054	2240	2264	1688	2419	3134	246	205	1438	1822
MYL4	1489	302	882	556	253	523	22	23	28	29	41	96	108	9	23
ITGB3	128865	109816	132638	94860	42151	120433	1391	810	676	3007	4166	1132	1309	338	464
LOC102899173	443	521	390	338	247	318	47	19	19	80	104	2175	2710	3	13
LOC111557749	1	2	1	0	0	1	1	0	2	0	1	9	11	0	0
METTL2A	466	464	403	252	91	337	359	392	329	420	505	84	99	224	289
TLK2	1710	1489	1515	1072	381	1151	1064	1190	1033	1402	1912	249	265	730	872
MRC2	37	28	57	33	31	26	15667	18805	17515	11492	12254	224	267	14247	15976
LOC109494406	18	21	31	12	11	18	9	2	4	4	2	33	30	2	0
10-Mar	0	1	3	2	13	2	3	6	6	2	3	104	159	1	3
TANC2	263	97	202	241	162	114	400	489	399	606	881	516	669	236	262
LOC111557960	0	0	0	2	0	0	0	0	0	0	0	2	3	1	0
LOC111557876	0	0	0	1	2	3	0	0	0	0	0	0	1	0	0
LOC101093813	176	100	216	128	43	82	343	618	641	90	114	80	98	584	634
LOC111557858	0	3	2	0	2	0	0	0	0	0	0	9	8	0	0
ACE	138	108	98	53	45	94	8	4	0	1	7	278	220	14	28
LOC101083124	7	0	2	3	8	1	1	0	0	0	0	85	132	0	0
KCNH6	5	2	4	2	12	1	0	0	1	0	0	131	159	0	0
DCAF7	2179	1870	1978	1005	443	1522	3014	3404	2807	3485	4268	419	272	2710	3315
LOC109494410	34	14	10	32	10	28	2	5	7	2	7	50	31	2	4
LOC101095057	500	426	438	270	130	333	395	469	397	513	619	160	151	321	354
MAP3K3	4143	2577	3133	2302	910	2381	708	786	752	1009	1153	283	313	505	599
LIMD2	10928	10397	9675	6481	1759	9076	57	41	30	109	117	123	80	7	26
STRADA	2222	2413	2396	1371	631	2161	420	547	511	474	585	148	165	329	395
LOC111557818	128	83	112	118	52	64	11	16	10	9	3	74	97	6	5
CCDC47	1505	1513	1412	656	330	971	2779	2640	2050	2918	3941	181	130	1879	2285
DDX42	1891	1645	1693	1073	405	1188	1536	1587	1362	1867	2265	460	361	935	1137
FTSJ3	981	841	802	444	149	635	930	881	795	1339	1782	383	266	633	714
LOC109494412	55	24	36	10	11	26	5	7	1	4	5	25	36	4	8
PSMC5	561	451	473	516	139	394	583	547	496	683	952	314	293	387	481
SMARCD2	3232	2837	2952	1961	702	2584	1325	1490	1158	1431	1801	286	190	1081	1168
LOC111557736	5	1	3	2	8	6	0	3	0	0	0	46	30	0	0
LOC101097853	108	116	72	102	38	125	7	15	16	7	4	174	175	5	10
GH1	13	4	6	11	8	2	0	0	0	0	0	20	19	0	0
CD79B	13419	9156	10953	14125	3097	12162	0	0	0	0	0	39	49	0	0
SCN4A	61	31	17	40	55	35	1	0	1	0	2	358	416	0	0
LOC102899402	9	6	3	2	0	1	0	0	0	0	0	6	24	0	0
LOC109494415	20	11	15	8	8	13	0	0	0	1	0	25	25	1	0
PRR29	65	23	32	16	14	26	3	1	3	7	8	12	17	11	3
ICAM2	1569	1374	1454	633	266	1124	0	4	1	1	2	60	66	0	1
ERN1	1213	978	942	376	228	437	679	1073	935	568	686	349	391	342	394
LOC102901546	130	185	122	93	36	117	15	12	7	17	14	9	11	6	12
LOC111557907	29	34	17	22	5	22	21	13	17	11	18	16	6	7	5
LOC111557928	14	9	13	24	9	42	2	4	4	9	5	4	0	4	1
TEX2	6483	7768	6743	6527	1909	7069	995	1049	866	1158	1401	467	400	982	1188
LOC102901574	13	8	11	6	11	6	2	0	1	2	0	52	74	0	1
PECAM1	8530	6599	9309	6590	2323	6502	2	7	2	5	4	180	186	2	2
LOC109494416	45	13	27	33	9	16	0	0	0	0	0	18	27	0	0
MILR1	396	233	483	199	114	200	1	0	7	7	6	112	117	3	2
POLG2	598	445	525	351	125	354	192	196	187	213	270	109	122	133	121
DDX5	30017	30646	32201	16463	5530	23648	15780	15851	12680	17216	23543	2426	1458	9755	11999
CEP95	1652	1436	1258	772	322	931	332	388	282	371	463	196	202	199	271
SMURF2	1134	919	1030	688	210	763	5573	5514	4356	7065	8805	136	154	3992	5366
KPNA2	567	460	477	296	97	422	1678	1594	1323	1928	2615	165	106	1134	1397
TRNAR-CCG_2	0	0	0	0	1	1	3	1	0	2	1	13	7	2	0
CE1H17orf58	163	178	146	80	28	113	500	487	416	500	649	20	38	374	407
BPTF	3754	2571	2815	2948	921	1783	795	842	671	1059	1278	733	595	675	749
TRNAR-CCU_3	2	1	2	2	3	1	0	0	0	0	0	10	14	0	1
LOC109494419	4	0	1	0	8	0	0	0	0	0	0	102	123	0	0
NOL11	837	810	806	492	173	647	832	924	775	931	1409	182	166	571	626
PITPNC1	3685	3762	4041	2525	877	2534	417	360	321	428	546	214	236	406	445
LOC109494420	52	45	47	48	31	33	1	4	0	0	0	55	74	0	2
PSMD12	2146	2160	2132	1436	481	1668	1873	2101	1587	2236	3279	449	276	1549	1830
LOC111557899	2	3	2	1	0	4	3	1	0	0	2	4	2	0	0
HELZ	2225	1806	2029	1803	728	1224	322	437	337	454	581	512	456	315	418
LOC111557949	4	1	1	0	2	2	0	0	0	0	0	2	2	0	0
LOC111557816	331	170	216	243	96	152	47	93	69	51	63	40	32	39	59
CACNG1	9	1	6	1	5	3	0	0	0	0	0	34	47	1	1
CACNG4	5	4	4	1	14	4	0	1	1	1	1	98	104	1	0
LOC109494117	4	1	0	3	8	0	0	0	0	0	0	21	46	0	0
CACNG5	2	6	1	3	12	1	180	92	72	10	29	79	81	76	68
LOC111557850	17	15	5	4	17	11	0	0	0	0	0	91	135	1	0
PRKCA	2375	2310	2474	2421	810	1859	908	744	570	946	1345	175	199	358	387
LOC111557879	4	3	2	7	3	2	0	0	0	0	1	0	0	0	0
LOC109494422	57	46	44	111	44	33	4	4	0	3	5	62	112	0	0
LOC109494423	56	33	31	105	45	14	5	4	2	4	4	54	60	4	4
APOH	4	3	3	4	10	3	1	1	0	1	0	37	68	0	2
CEP112	2158	2836	1908	613	411	1640	266	275	234	365	530	241	242	150	202
LOC111557852	11	1	8	15	7	3	2	3	5	1	2	28	43	0	2
AXIN2	273	183	199	224	89	170	220	54	77	185	240	85	118	21	32
LOC109494424	0	0	0	0	2	0	0	0	0	0	0	33	47	0	0
LOC111557848	1	3	0	0	7	2	0	0	0	0	0	100	98	0	0
