N_unmapped	4438_S1_L002_ReadsPerGene.out.tab	4460_S2_L002_ReadsPerGene.out.tab	4474_S3_L002_ReadsPerGene.out.tab	4501_S4_L002_ReadsPerGene.out.tab	4510_S5_L002_ReadsPerGene.out.tab	4520_S6_L002_ReadsPerGene.out.tab	DC1MINUS_S7_L002_ReadsPerGene.out.tab	DC2MINUES_S9_L002_ReadsPerGene.out.tab	DC2PLUS_S10_L002_ReadsPerGene.out.tab	DC2Pool_NoIndex_L001_ReadsPerGene.out.tab	DC3Pool_NoIndex_L001_ReadsPerGene.out.tab	DC4MINUS_S11_L002_ReadsPerGene.out.tab	DC4PLUS_S12_L002_ReadsPerGene.out.tab	Mischief_Minus_S12_L002_ReadsPerGene.out.tab	Mischief_Plus_S11_L002_ReadsPerGene.out.tab	X2654MINUS_S13_L002_ReadsPerGene.out.tab	X2654PLUS_S14_L002_ReadsPerGene.out.tab
SMARCA2	12	6	18	23	13	2	1	0	0	4	0	0	1	35	52	0	0
LOC111557604	5254	3829	5149	2583	1185	3493	2983	4470	3637	13	129	4678	5828	2157	1509	2917	3461
LOC102901030	5	5	4	5	4	3	0	0	2	0	0	2	1	2	1	0	0
LOC102901057	1	0	1	0	7	0	0	0	0	1	0	0	0	18	21	0	0
DMRT2	1	0	0	0	5	0	0	0	0	34	15	0	0	57	73	0	0
DMRT3	0	0	2	3	5	1	0	0	0	0	0	8	19	60	46	0	0
LOC109493704	2	1	2	1	10	1	0	0	0	92	67	0	0	40	58	0	0
DMRT1	0	0	0	0	3	0	0	0	0	59	58	0	0	46	47	0	0
LOC111557608	1	3	3	1	1	0	0	0	0	9	24	1	0	48	46	0	0
LOC102901078	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KANK1	5	2	7	0	1	0	3	1	4	11	0	1	1	41	32	3	1
DOCK8	1947	2295	1353	1374	659	1281	566	1525	1249	4	1	484	516	152	184	1563	1780
LOC109493573	9266	6442	8065	6204	2306	5286	11	16	14	97	99	2	5	965	755	14	22
LOC101080413	123	73	62	58	31	60	0	1	0	0	1	0	0	31	25	0	1
LOC101084143	430	277	411	206	98	228	849	1106	840	37	29	1026	1521	87	74	740	800
PGM5	3	1	4	3	1	1	0	1	2	0	0	0	0	9	13	0	0
TMEM252	11	3	7	4	13	7	5	21	21	3	3	341	438	101	102	401	440
LOC109493708	1	2	0	0	4	0	0	0	0	0	0	0	0	56	39	0	0
LOC109493707	0	0	2	1	5	1	0	0	0	1	3	0	0	61	68	0	0
LOC109493706	93	72	57	41	41	42	0	1	0	4	2	1	0	55	56	0	0
LOC109493709	1	5	3	3	7	4	0	0	0	2	0	0	0	46	49	0	0
PIP5K1B	1	2	3	2	3	0	0	0	0	0	1	0	0	22	33	0	0
FAM122A	1493	1112	2092	2105	425	1206	0	4	3	3	17	3	3	94	99	0	4
FXN	248	292	277	342	126	180	306	362	272	13	9	321	450	114	116	172	230
TJP2	206	184	165	121	36	139	124	160	133	1	0	262	350	50	59	136	157
LOC109493714	3417	5791	4790	1842	692	3368	1241	1056	942	3	96	1252	1804	158	221	685	830
LOC109493717	1	0	0	2	0	0	0	0	0	0	0	0	0	6	21	0	0
LOC111557609	0	1	0	0	1	0	0	0	0	0	0	0	0	5	4	0	0
FAM189A2	2	1	0	1	3	1	0	0	0	0	1	0	0	49	42	0	0
LOC111557610	33	50	31	15	11	22	20	3	4	31	8	12	17	72	67	8	10
APBA1	7	2	0	2	8	3	0	0	0	7	15	0	1	75	82	0	1
LOC109493715	2802	1942	2871	2683	897	1841	98	160	130	2	12	197	238	194	198	45	59
LOC109493712	4	1	1	1	1	0	0	0	0	0	0	0	0	7	2	0	0
PTAR1	195	154	322	45	71	327	1	2	0	0	2	7	9	33	25	1	1
MAMDC2	2183	1673	1362	1158	423	1314	3893	4129	3190	217	177	4704	6053	238	225	1586	1737
LOC109493718	22	8	17	32	25	6	731	1201	963	50	44	710	874	162	207	29	37
SMC5	1	1	0	0	4	0	0	0	0	0	64	0	0	3	3	0	0
KLF9	5288	3740	4215	3076	872	2750	1850	1891	1571	190	181	2011	2766	392	381	831	1099
LOC105261078	182	175	166	122	42	111	1218	1536	1140	3	0	1124	1539	91	71	1158	1212
LOC111557611	4	8	9	2	11	6	123	103	103	0	0	224	290	51	59	174	188
LOC109493721	0	1	0	0	2	0	1	0	1	1	0	2	1	15	17	0	3
TRPM3	2	2	1	0	7	2	0	1	3	1	1	0	4	49	49	3	4
LOC102902626	5	4	5	10	31	5	6	11	12	112	152	9	10	367	527	9	2
LOC111557613	6	4	3	4	26	1	1	10	7	0	4	1	6	125	148	1	4
LOC109493720	0	0	0	0	2	0	0	0	0	0	0	0	0	8	13	0	0
TMEM2	1	0	0	0	5	2	0	0	0	1	0	0	0	21	22	1	0
ABHD17B	1567	908	1223	850	475	864	678	800	655	79	145	615	847	302	363	724	772
CD4H9orf85	1625	1038	1225	854	275	1066	508	649	449	2	1	540	742	31	47	462	556
LOC111557615	149	157	130	127	28	127	115	100	58	117	38	146	161	26	50	58	67
GDA	3	6	6	6	4	5	3	7	1	26	101	8	8	23	41	1	1
ZFAND5	33	10	24	57	13	19	2	3	0	12	20	1	6	116	154	1	1
LOC109493726	2366	2429	2482	1269	480	1746	3105	5822	4736	82	35	2881	3684	178	108	2153	2711
LOC109493725	1	5	0	1	0	1	0	1	0	2	2	0	0	6	17	0	0
TMC1	1	1	5	5	1	0	0	0	0	6	13	0	0	7	8	0	0
ALDH1A1	0	1	4	1	11	4	1	2	1	2	5	0	0	150	185	0	0
LOC109493729	0	0	1	1	7	2	0	0	0	50	37	0	0	116	119	0	0
LOC111557616	1	1	0	0	5	0	0	0	0	0	0	0	0	41	32	0	0
ANXA1	465	301	312	544	147	221	49	112	115	1	4	8	7	0	0	16	15
LOC111557617	2097	1725	3372	1344	566	1437	9393	16024	12889	113	140	9058	12200	214	131	10037	12252
LOC109493731	15	4	3	7	9	5	3	3	1	59	87	1	0	14	16	2	4
RORB	0	0	0	4	12	2	11	16	10	33	28	9	9	43	65	2	4
TRPM6	6	5	4	6	21	2	176	340	283	67	86	204	237	148	171	59	111
LOC109493732	284	869	316	267	123	144	391	838	687	74	62	642	793	345	439	593	730
CD4H9orf40	1	0	2	4	7	3	1	1	0	84	37	0	2	13	20	0	2
CARNMT1	229	275	196	159	54	141	188	247	222	47	104	262	316	71	43	153	187
LOC111557619	1073	925	1091	712	252	876	1010	1163	886	18	29	1594	2301	221	154	846	965
NMRK1	74	98	74	44	29	67	13	18	13	0	0	23	21	97	87	4	6
LOC102900317	138	112	120	60	63	102	256	477	403	99	46	407	536	171	202	201	237
LOC111557671	4	3	3	2	5	4	4	3	1	0	0	3	6	22	26	1	1
OSTF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC109493737	2968	2729	3103	1661	669	2648	1214	1491	1243	17	15	1881	2513	299	239	1258	1682
PCSK5	0	0	0	2	7	0	1	2	2	5	70	0	1	22	32	8	6
LOC109493739	6	6	4	9	48	2	875	3869	3475	16	25	1060	1259	355	395	1176	1550
LOC109493740	1	1	0	0	2	0	0	2	2	0	0	0	2	21	25	3	0
RFK	0	1	0	1	0	0	1	3	3	0	0	0	0	13	13	1	3
GCNT1	681	758	729	315	160	716	1059	1217	896	3	7	1379	1869	63	54	543	753
LOC111557625	11503	10312	13272	9097	3236	11141	395	552	414	81	62	2689	3386	183	204	19	27
PRUNE2	2	1	3	2	21	1	0	1	0	1	5	1	1	35	52	0	0
LOC111557626	184	177	256	159	58	98	2339	3605	2841	211	258	7261	9336	295	344	2219	2542
FOXB2	21	17	30	27	13	14	1	2	3	0	0	4	4	54	41	0	3
LOC109493610	0	0	1	1	0	0	0	0	0	0	0	0	0	12	8	0	0
LOC109493609	0	0	0	3	2	1	0	0	0	0	0	0	0	8	17	0	0
VPS13A	0	2	0	0	0	1	0	0	0	0	0	0	0	6	10	0	0
GNA14	3924	3691	4412	2135	1301	2675	2352	2758	2047	126	168	4317	6248	453	406	2200	2526
GNAQ	4	6	1	1	14	3	208	26	22	7	3	76	102	79	75	9	16
LOC109493742	1769	2077	2685	1082	439	1387	2610	2364	1957	89	63	3068	3839	102	112	1555	1891
LOC109493743	2	2	5	7	13	3	0	0	0	4	0	0	1	29	38	0	0
CEP78	0	0	0	1	0	0	0	0	0	43	19	0	0	17	23	0	0
PSAT1	397	308	361	221	62	215	118	83	74	15	36	137	191	115	112	40	58
LOC101095924	453	218	412	277	95	283	10724	5790	4814	1	2	9693	12816	172	113	8117	9711
LOC111557629	1	0	0	0	2	0	0	0	0	0	0	0	0	25	20	0	0
TLE4	2	0	0	0	5	1	1	0	0	0	0	0	0	14	20	0	0
LOC109493746	1029	744	878	483	244	573	545	378	299	97	129	416	505	260	233	284	400
LOC111556232	15	6	14	10	1	2	3	0	0	0	0	2	3	6	8	0	1
LOC111557693	1	0	0	0	2	1	0	0	0	2	7	0	0	10	18	0	0
LOC109493747	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0
LOC109493613	0	0	0	0	2	0	0	0	0	1	0	0	0	34	27	0	0
LOC109493749	0	1	1	0	4	0	0	0	1	0	0	0	0	80	109	0	0
LOC111557630	1	0	0	3	2	0	0	0	0	1	3	0	0	22	28	0	0
LOC111557645	17	10	24	12	17	0	0	0	0	2	11	2	0	51	52	0	0
LOC105261088	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0
LOC111557631	3	0	2	3	8	2	6	2	3	34	12	7	13	6	11	1	4
LOC111557632	0	0	0	0	4	2	0	0	0	4	16	0	0	36	57	0	0
LOC109493752	0	0	0	2	1	1	0	0	0	52	150	0	0	50	32	0	0
TLE1	1	0	1	0	2	0	0	0	0	15	6	0	0	15	7	0	0
LOC109493753	828	423	600	618	188	613	52	54	43	49	22	105	132	170	123	106	144
LOC111556292	35	19	24	24	12	18	0	0	1	0	0	1	0	32	51	0	7
LOC111557676	11	5	7	12	20	11	0	1	1	7	6	0	0	197	233	0	0
LOC111557694	2	1	0	1	0	0	0	1	0	0	0	3	1	7	2	0	1
RASEF	0	0	0	0	1	0	0	0	0	0	0	0	0	2	6	0	0
LOC111557450	3	0	1	2	25	2	0	1	1	81	55	0	0	148	149	0	0
FRMD3	1	2	0	2	2	0	0	0	0	8	27	0	0	27	22	0	0
IDNK	2	1	1	2	8	2	9	5	3	152	192	3	2	174	152	12	6
UBQLN1	372	351	359	178	63	266	78	166	150	2	3	102	161	126	85	125	98
GKAP1	4877	5051	5139	2852	1008	4256	4477	4817	3765	44	117	5843	7619	284	186	3074	3966
KIF27	82	62	63	45	19	33	98	139	128	7	20	144	231	72	82	164	227
LOC109493763	36	20	17	15	33	16	283	449	308	111	132	354	413	135	198	129	143
LOC109493764	0	0	1	1	0	0	0	0	0	0	0	2	1	4	10	0	0
CD4H9orf64	0	2	0	4	1	1	0	0	0	0	0	0	0	10	8	0	0
HNRNPK	308	265	293	167	59	172	383	253	172	45	52	482	608	54	50	209	255
RMI1	14778	13577	14522	8055	2761	11683	13214	13643	11219	66	46	15795	21161	1440	900	9375	11425
LOC111557646	125	150	145	77	48	104	139	178	123	5	27	197	288	58	100	113	111
SLC28A3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0
LOC111557648	5	9	1	6	12	0	2	1	0	96	147	0	3	121	146	0	0
LOC109493767	1	0	0	1	1	0	0	0	0	0	0	0	0	7	1	0	0
LOC111557452	1	1	2	3	16	2	3	6	3	127	48	1	1	138	205	1	2
NTRK2	3	0	4	3	13	1	0	0	0	32	21	0	0	82	114	0	0
LOC109493769	8	3	10	10	35	4	497	849	837	71	241	17	34	284	347	603	890
LOC109493770	1	0	0	2	9	2	0	0	0	10	13	0	0	78	88	0	0
LOC111557453	0	0	2	1	7	3	0	0	0	13	4	0	0	67	59	0	0
LOC109491350	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0
LOC109493615	6	7	4	20	2	6	0	1	0	0	0	0	0	0	0	2	3
LOC109493771	0	1	1	1	3	0	0	0	0	0	0	0	0	6	9	0	0
AGTPBP1	2	1	1	0	8	0	0	0	0	29	95	0	0	47	35	0	0
NAA35	1754	1418	1409	1067	545	1358	464	453	382	139	77	651	938	161	160	290	307
GOLM1	610	436	562	376	142	329	360	452	329	2	7	472	673	130	140	266	423
CD4H9orf153	722	538	743	397	209	467	9103	11233	9618	2	2	8677	11384	131	126	5325	6226
ISCA1	0	1	0	1	4	0	0	1	0	14	57	0	0	77	70	0	0
ZCCHC6	3441	3859	3755	2172	893	3429	885	1392	1059	2	0	1060	1449	55	44	1020	1341
LOC109493617	2783	2151	2475	1617	635	1711	881	960	715	16	153	952	1252	480	384	704	917
LOC102899122	1	0	1	1	0	1	0	0	2	2	0	0	0	5	8	0	0
LOC102899161	8	14	8	3	7	13	4	11	11	0	0	6	10	14	10	12	8
LOC109493775	1	1	1	1	7	2	83	9	3	8	8	14	14	67	48	2	8
LOC109493773	0	0	0	1	0	0	28	3	5	2	0	8	7	28	33	4	0
LOC109493774	3	2	0	2	5	1	34	10	6	68	57	17	23	135	169	15	21
GAS1	0	0	0	1	3	0	197	84	92	0	0	171	250	17	39	94	77
LOC109493619	47	9	25	27	21	34	1050	1056	1046	0	0	779	910	10	4	1060	1215
DAPK1	1	2	1	1	8	0	15	12	3	26	7	56	68	76	61	3	10
LOC101101202	321	141	404	100	78	157	574	1145	959	181	90	802	926	255	261	639	686
LOC101080443	2	0	0	0	1	0	0	0	0	0	0	0	0	3	9	0	0
LOC101082891	2	3	1	0	1	1	0	0	0	126	120	0	0	55	80	0	0
PDP	2	0	0	0	2	1	0	0	0	2	3	0	0	48	56	0	0
LOC101087880	1	2	2	1	3	0	0	0	0	41	28	22	36	49	44	0	0
FBP2	2	2	7	2	6	2	8	16	8	36	25	26	38	51	60	5	5
FBP1	1	0	1	1	1	0	29	62	40	1	2	17	35	119	132	4	2
LOC111557454	6	7	8	3	3	3	3	8	9	1	2	11	8	36	31	1	3
LOC111557582	6	0	5	6	21	3	0	0	0	0	0	0	1	59	82	0	0
CD4H9orf3	0	1	0	0	0	0	1	1	1	1	0	0	0	27	43	0	0
LOC111557684	409	254	321	169	90	260	4173	3507	2874	88	63	4573	5869	240	241	2015	2588
LOC111557691	3	2	1	2	2	1	0	0	0	0	0	0	0	0	2	0	0
LOC109493780	2	0	0	0	1	0	0	0	0	1	0	0	0	7	11	1	0
FANCC	4	0	2	4	2	3	7	5	5	0	0	3	4	40	22	2	2
PTCH1	83	81	83	85	26	50	43	29	21	357	182	81	95	62	42	20	27
LOC111557455	123	91	74	25	43	27	145	134	104	57	28	198	275	306	376	89	81
LOC111557456	7	6	7	1	0	3	5	1	1	0	1	0	2	7	22	3	4
ERCC6L2	1	1	1	0	4	1	0	0	0	1	1	0	0	0	2	0	0
LOC111557714	2264	2177	2078	1079	597	1740	1238	1512	1238	56	72	1504	1981	145	139	944	1236
LOC102899622	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC109493621	1	0	1	2	5	2	0	0	1	0	0	0	0	30	31	0	0
HSD17B3	0	1	1	0	2	0	0	1	0	0	0	0	0	33	27	0	0
LOC111557710	0	1	1	4	9	1	1	0	0	80	146	1	0	120	123	0	0
SLC35D2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0
ZNF367	136	93	142	133	43	84	143	114	95	93	72	217	293	66	67	52	76
LOC111557692	96	95	114	85	17	70	55	11	11	1	2	34	36	63	72	13	11
HABP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
CDC14B	157	93	156	96	65	88	168	171	138	105	64	295	415	99	115	145	167
LOC111557685	1945	1663	1647	931	344	1098	443	329	256	18	10	391	552	210	184	228	277
LOC109493784	5	4	2	0	2	1	0	0	0	0	0	0	0	0	3	0	0
AAED1	30	26	19	16	9	15	82	96	70	0	0	157	232	10	13	116	146
LOC101090147	85	79	70	44	25	64	103	123	110	7	4	182	253	33	23	86	133
LOC111557700	6	6	10	3	9	2	3	13	8	200	119	2	7	41	35	1	0
LOC102900842	0	0	0	0	0	0	0	0	0	0	0	0	0	11	10	0	0
LOC111557458	11	13	6	1	14	7	7	9	9	103	117	2	1	67	44	4	3
ZNF510	3	8	5	3	15	2	9	9	8	0	0	5	8	72	95	1	11
LOC109493787	1	1	4	1	5	0	86	74	75	47	19	80	89	34	30	30	61
LOC101090653	2	1	5	1	5	1	16	30	16	3	12	27	20	15	24	12	16
LOC101086605	365	353	341	186	74	213	136	150	126	12	19	177	210	61	77	96	110
LOC111557459	1	2	2	1	6	0	2951	3828	3056	7	39	2532	3324	43	60	2709	3203
LOC111557635	2	0	1	2	9	1	5	7	4	2	2	4	9	22	25	2	4
LOC111557587	0	0	1	0	0	0	0	0	0	0	0	0	0	14	12	0	0
LOC101091410	0	0	0	0	0	0	1	1	0	82	119	0	0	21	22	2	1
LOC101091908	0	2	1	3	11	1	0	0	0	23	11	0	0	134	158	0	0
MLANA	232	358	285	114	55	205	551	712	528	45	125	478	694	57	71	491	573
KIAA2026	6	2	4	7	5	3	15	338	223	0	0	21	33	32	20	532	642
LOC111557683	2837	2083	2263	1811	612	1601	953	1170	878	39	14	1113	1384	235	173	707	932
RANBP6	4	0	1	7	3	0	0	0	0	0	0	0	0	4	11	0	0
IL33	1318	1549	1242	696	268	1267	462	532	452	88	51	605	839	94	98	178	236
TPD52L3	3	2	2	1	6	2	1493	1704	1406	56	37	215	282	65	64	1724	2052
UHRF2	0	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0
GLDC	2160	1779	1820	1138	443	1163	533	674	513	217	107	661	940	191	187	496	593
KDM4C	17	10	17	35	30	10	4	5	4	6	5	1	0	183	263	3	3
LOC109493789	2092	1772	1800	1226	579	1464	895	879	785	286	234	771	1175	352	329	733	808
LOC111557461	21	11	15	39	12	10	6	3	2	16	7	1	3	41	38	3	2
LOC111557633	1	2	3	15	5	2	1	0	1	1	1	1	1	31	31	0	1
LOC111557460	2	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0
DMAC1	71	32	50	74	28	20	10	4	2	28	27	4	9	39	53	9	7
LOC109493622	237	192	231	152	44	145	235	202	199	0	0	252	432	7	20	135	165
LOC109493792	0	0	0	1	1	0	0	0	0	11	30	0	0	13	13	0	0
PTPRD	0	1	1	1	5	3	0	0	0	13	23	0	0	9	14	0	0
LOC109493795	7	2	7	3	31	6	31	129	114	211	175	47	91	277	352	4	16
LOC111557653	0	0	0	0	4	1	0	0	0	1	0	0	0	34	26	0	0
LOC111557649	0	0	0	0	0	0	0	0	0	0	0	0	0	11	10	0	0
LOC111557464	0	0	2	0	2	1	0	0	0	0	0	1	0	0	4	0	0
TYRP1	45	46	54	73	18	44	12	5	6	0	0	11	9	0	0	80	82
LURAP1L	0	1	0	1	5	0	1	1	1	6	13	0	0	49	59	1	0
LOC109493796	98	102	85	79	21	104	1273	1365	1122	0	0	1001	1191	32	32	1166	1346
MPDZ	0	0	0	2	1	3	2	3	0	10	28	4	3	20	29	0	1
LOC109493798	34	86	64	37	49	35	4355	5068	4032	62	183	5136	6419	316	348	1699	1930
LOC111557595	2	3	0	1	7	3	73	57	32	1	7	60	47	29	46	15	38
LOC102901792	2	0	0	0	7	0	1	0	0	17	22	0	4	2	6	0	0
LOC102901821	0	1	1	1	3	2	2	0	0	54	14	0	2	36	56	0	0
LOC109493801	0	1	0	0	7	0	0	0	0	0	0	0	0	18	30	0	0
NFIB	3	0	1	2	7	0	2	0	0	0	2	0	0	101	110	0	0
LOC111557668	9	4	4	9	34	1	542	1200	879	4	1	660	992	241	234	247	254
LOC102901864	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LOC111557486	6	0	2	3	11	2	1	7	7	17	16	1	1	28	44	0	1
TRNAH-GUG_9	1	0	0	0	1	0	0	1	0	3	8	0	0	10	24	0	0
LOC109493803	0	0	0	0	0	0	11	11	8	0	0	10	19	4	2	1	3
ZDHHC21	0	0	0	0	8	0	0	0	0	0	1	0	0	18	28	0	0
CER1	2071	1404	1960	885	513	1234	1279	1193	869	100	234	1661	2251	116	119	697	856
FREM1	0	0	0	2	2	2	1	1	0	0	0	0	0	10	24	0	0
LOC111557488	31	12	14	15	33	13	7	18	26	6	16	8	7	352	450	0	1
TTC39B	27	9	17	18	15	12	1	8	7	2	0	2	1	84	95	0	2
LOC111557468	854	529	726	324	218	448	939	2149	1771	2	6	936	1276	203	246	856	946
LOC109493804	1	2	5	1	2	1	0	0	0	0	0	0	0	16	16	0	0
SNAPC3	3	1	7	1	3	1	0	3	0	0	0	2	4	61	81	0	0
PSIP1	649	590	581	287	130	383	412	501	448	6	47	421	588	108	120	289	345
CCDC171	4508	4287	3529	1567	616	2122	1408	1256	944	86	92	1320	1895	1396	713	347	431
BNC2	97	91	88	49	38	45	102	169	145	175	186	182	244	239	364	58	66
LOC102902344	3	2	6	5	13	1	773	1085	895	206	226	1104	1361	173	203	321	381
LOC102902317	0	0	1	0	0	1	1	0	0	0	0	2	0	7	9	0	4
LOC111557489	10	0	4	6	21	4	32	36	22	16	15	37	37	82	123	4	22
LOC111557490	0	0	1	0	5	0	0	1	0	1	0	1	1	16	21	0	0
CNTLN	1	0	0	2	1	0	2	2	5	0	0	2	3	26	48	0	2
SH3GL2	44	58	47	25	32	39	385	496	362	97	59	687	828	124	157	208	324
LOC101081765	0	1	1	0	7	2	0	0	5	6	0	0	2	81	121	0	0
LOC111557469	3	0	1	2	9	4	0	1	0	8	23	0	0	10	14	0	0
LOC111557491	0	1	0	2	2	0	0	0	0	3	36	1	0	83	65	0	0
LOC109493808	0	0	0	1	0	0	0	0	0	0	1	0	0	9	10	0	0
ADAMTSL1	1	0	0	1	8	2	0	0	1	107	45	0	0	46	50	0	0
LOC109493809	4	5	14	8	33	4	769	1095	999	124	79	595	697	300	353	542	585
SAXO1	1	3	1	0	4	0	0	0	0	0	0	0	0	12	23	0	0
LOC109493810	0	0	1	1	10	1	1	0	0	104	42	0	0	43	52	0	0
RRAGA	3	0	1	0	2	0	0	0	0	0	0	0	1	6	9	0	0
HAUS6	468	353	365	255	130	269	538	552	491	0	0	687	1026	56	33	579	521
LOC111557665	835	788	811	392	163	604	859	1014	769	93	49	937	1281	133	148	699	825
PLIN2	22	17	28	30	22	30	7	9	13	1	0	20	23	2	1	4	1
LOC102899268	1357	2029	1889	958	339	1691	8502	13772	11162	12	49	8889	11178	112	101	4429	4990
DENND4C	3	3	4	1	2	1	8	20	20	0	0	7	8	19	37	7	13
RPS6	2473	2875	2338	1014	478	1387	4512	5996	4595	163	170	5355	6712	300	308	4220	5077
LOC109493811	18797	17706	21577	14104	4138	15556	21471	20548	16961	0	0	23236	28865	3006	1670	12446	15081
ACER2	0	0	1	0	0	0	0	0	0	0	0	0	0	23	6	0	0
SLC24A2	8977	12411	13685	5917	2557	10403	109	111	112	1	6	128	144	76	112	118	136
LOC109493813	7	5	10	1	12	4	0	0	0	3	7	0	0	169	252	1	4
LOC109493812	2	0	2	0	1	1	0	0	1	10	35	0	1	14	9	0	0
LOC111557663	1	1	4	3	5	2	0	0	0	0	0	0	0	12	15	0	0
MLLT3	0	1	0	1	2	0	0	0	0	0	2	0	0	4	1	0	0
LOC111557642	684	798	578	296	134	460	101	135	110	11	7	76	127	111	108	46	65
FOCAD	1	1	1	0	0	0	0	0	0	0	0	0	0	30	33	0	0
HACD4	751	749	678	575	280	487	1544	1786	1436	132	115	2054	2588	240	286	1181	1342
IFNB1	21272	16149	26925	15385	7089	19888	99	271	214	2	4	230	248	42	78	65	99
LOC101088440	0	0	0	1	0	0	0	1	1	6	1	0	0	11	10	0	0
LOC101088699	0	1	0	0	0	0	0	0	0	0	0	0	0	4	9	0	0
IFNW4	0	0	0	0	1	1	0	0	0	0	0	0	0	11	12	0	0
IFNA8	0	1	0	0	2	0	0	1	0	0	0	0	0	27	17	0	0
IFNW11	0	0	1	0	1	1	0	0	0	27	44	0	0	5	0	0	0
IFNA5	0	0	1	0	2	0	0	1	0	0	0	0	1	18	31	0	0
LOC101081371	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0
LOC111557471	0	0	0	0	0	0	0	0	0	2	2	0	1	11	10	0	0
LOC105259601	1	1	0	0	1	0	0	0	0	0	0	0	0	4	1	0	0
LOC109493818	6	10	6	0	3	3	0	0	0	6	0	0	0	128	144	0	0
KLHL9	8	12	7	5	10	6	2	7	2	1	1	0	1	34	54	1	0
LOC109493819	2072	2239	1754	707	406	1437	1887	2281	1716	48	52	2506	3528	145	138	1629	1912
LOC111557596	12	8	7	5	8	8	0	0	0	0	0	0	1	9	19	0	0
IFNA7	0	0	0	0	0	0	0	0	0	1	0	0	0	4	3	0	0
IFNW12	0	0	1	1	1	0	0	1	0	2	2	0	0	35	36	0	0
IFNE	0	1	0	0	0	0	0	0	0	10	35	0	0	10	5	0	0
MTAP	0	0	0	1	0	0	0	0	0	0	0	0	0	11	14	0	0
LOC109493821	316	326	332	188	85	289	1551	1349	1188	212	141	1925	2745	151	135	1026	1352
CDKN2A	6	2	3	1	6	2	4	1	1	168	79	4	6	22	45	2	1
LOC109493822	6	4	5	4	5	4	478	1037	939	12	7	401	599	94	67	545	593
CDKN2B	1	0	2	1	5	0	0	0	0	0	0	1	4	32	39	1	1
LOC105261121	34	54	46	28	32	26	975	691	642	0	1	1197	1461	74	47	779	986
LOC111557494	5	2	3	5	2	1	2	3	0	0	2	2	2	16	36	0	1
LOC111557495	33	47	43	25	19	35	26	17	18	2	1	21	33	24	37	11	12
LOC102901148	31	36	28	16	10	27	19	29	26	0	0	32	28	67	62	7	21
DMRTA1	119	279	229	119	122	282	18	22	17	4	7	16	23	71	77	8	7
LOC101089970	2	0	0	1	4	3	1	0	0	90	45	1	0	50	76	0	2
ELAVL2	6	62	32	2	10	12	0	2	1	4	25	3	1	54	85	1	2
LOC101090218	5	3	1	4	17	4	11	63	41	16	27	28	35	43	61	27	24
LOC111557497	0	0	1	0	3	0	0	0	0	61	31	0	0	30	8	0	0
LOC111557498	0	0	2	3	13	0	0	0	0	100	61	0	0	10	22	0	0
LOC102901354	0	0	0	0	0	0	0	0	0	0	0	0	0	24	30	0	0
IZUMO3	0	1	1	0	2	0	0	0	0	235	80	0	0	22	25	0	0
LOC109493828	1	1	0	0	8	2	0	0	0	2	3	0	0	41	40	0	0
LOC111557707	1	2	0	2	2	3	0	0	0	0	0	0	0	15	28	0	0
TUSC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC109493833	271	373	308	119	59	232	237	249	196	0	1	291	416	23	9	135	200
LOC111557500	2	6	4	3	23	2	1	0	0	166	114	0	0	88	129	0	0
CAAP1	82	104	75	57	26	76	4	2	4	11	41	3	10	62	84	2	2
PLAA	369	412	368	253	77	330	372	395	324	9	22	417	500	45	50	275	341
IFT74	704	732	707	414	158	566	637	896	708	9	135	989	1379	173	183	619	686
LRRC19	343	463	403	293	83	308	772	822	600	7	54	817	941	75	74	412	597
LOC109493834	18	8	10	20	8	12	5	1	0	7	55	3	4	17	10	3	1
TEK	25	24	33	25	5	19	13	7	6	13	30	4	7	23	20	7	9
LOC101093554	279	145	287	111	95	127	4	2	1	5	10	14	11	178	237	4	4
EQTN	14	5	11	12	23	9	0	0	0	30	16	0	1	211	196	0	0
MOB3B	0	3	0	1	11	0	1	0	0	64	59	1	0	76	87	0	2
LOC109493835	16	4	13	14	14	8	12	8	10	5	10	18	19	107	144	79	53
IFNK	50	7	73	54	53	27	3	2	0	2	16	1	1	174	187	9	7
CD4H9orf72	14	1	26	6	19	10	0	0	0	4	8	0	0	7	12	0	2
LOC109493837	475	463	635	207	132	418	899	793	656	6	3	888	1115	84	91	430	545
